Name,Status,MRP,Image_Path
Testing two,In Stock,0.0,product_images\Testing_two.jpg
Testing three,In Stock,0.0,product_images\Testing_three.jpg
testing 5,In Stock,0.0,product_images\testing_5.jpg
Testing two,In Stock,0.0,product_images\Testing_two.jpg
Testing three,In Stock,0.0,product_images\Testing_three.jpg
testing 5,In Stock,0.0,product_images\testing_5.jpg
Testing two,In Stock,0.0,product_images\Testing_two.jpg
Testing three,In Stock,0.0,product_images\Testing_three.jpg
testing 5,In Stock,0.0,product_images\testing_5.jpg
Testing two,In Stock,0.0,product_images\Testing_two.jpg
Testing three,In Stock,0.0,product_images\Testing_three.jpg
testing 5,In Stock,0.0,product_images\testing_5.jpg

